"intervention","space","time","costs"
"cliniczflourzcubefcube","Cities","2",277874.88
"cliniczflourzcubefcube","Cities","3",423815.08
"cliniczflourzcubefcube","Cities","4",590965.45
"cliniczflourzcubefcube","Cities","5",632735.11
"cliniczflourzcubefcube","Cities","6",647354.08
"cliniczflourzcubefcube","Cities","7",618154.19
"cliniczflourzcubefcube","Cities","8",646990.44
"cliniczflourzcubefcube","Cities","9",675208.12
"cliniczflourzcubefcube","Cities","10",679169.68
"cliniczflourzcubefcubefflour","North","1",466667.96
"cliniczflourzcubefcubefflour","North","2",418711.24
"cliniczflourzcubefcubefflour","North","3",554548.67
"cliniczflourzcubefcubefflour","North","4",683201.85
"cliniczflourzcubefcubefflour","North","5",712780.30
"cliniczflourzcubefcubefflour","North","6",739727.32
"cliniczflourzcubefcubefflour","North","7",712441.98
"cliniczflourzcubefcubefflour","North","8",752905.13
"cliniczflourzcubefcubefflour","North","9",768978.53
"cliniczflourzcubefcubefflour","North","10",761489.15
"cliniczflourzcubefcubefflour","South","1",655169.02
"cliniczflourzcubefcubefflour","South","2",582541.03
"cliniczflourzcubefcubefflour","South","3",771106.59
"cliniczflourzcubefcubefflour","South","4",903987.60
"cliniczflourzcubefcubefflour","South","5",944403.55
"cliniczflourzcubefcubefflour","South","6",969838.92
"cliniczflourzcubefcubefflour","South","7",931208.37
"cliniczflourzcubefcubefflour","South","8",974169.81
"cliniczflourzcubefcubefflour","South","9",997364.42
"cliniczflourzcubefcubefflour","South","10",990268.55
"cliniczflourzcubefcubefflour","Cities","1",359056.48
"cliniczflourzcubefcubefflour","Cities","2",291166.90
"cliniczflourzcubefcubefflour","Cities","3",465082.03
"cliniczflourzcubefcubefflour","Cities","4",533603.48
"cliniczflourzcubefcubefflour","Cities","5",574055.86
"cliniczflourzcubefcubefflour","Cities","6",587346.22
"cliniczflourzcubefcubefflour","Cities","7",556806.52
"cliniczflourzcubefcubefflour","Cities","8",584292.23
"cliniczflourzcubefcubefflour","Cities","9",611149.50
"cliniczflourzcubefcubefflour","Cities","10",613741.70
"cliniczflourzcubefflour","North","1",466667.96
"cliniczflourzcubefflour","North","2",418711.24
"cliniczflourzcubefflour","North","3",554548.67
"cliniczflourzcubefflour","North","4",683201.85
"cliniczflourzcubefflour","North","5",712780.30
"cliniczflourzcubefflour","North","6",739727.32
"cliniczflourzcubefflour","North","7",712441.98
"cliniczflourzcubefflour","North","8",752905.13
"cliniczflourzcubefflour","North","9",768978.53
"cliniczflourzcubefflour","North","10",761489.15
"cliniczflourzcubefflour","South","1",655169.02
"cliniczflourzcubefflour","South","2",582541.03
"cliniczflourzcubefflour","South","3",771106.59
"cliniczflourzcubefflour","South","4",903987.60
"cliniczflourzcubefflour","South","5",944403.55
"cliniczflourzcubefflour","South","6",969838.92
"cliniczflourzcubefflour","South","7",931208.37
"cliniczflourzcubefflour","South","8",974169.81
"cliniczflourzcubefflour","South","9",997364.42
"cliniczflourzcubefflour","South","10",990268.55
"cliniczflourzcubefflour","Cities","1",359056.48
"cliniczflourzcubefflour","Cities","2",291166.90
"cliniczflourzcubefflour","Cities","3",465082.03
"cliniczflourzcubefflour","Cities","4",533603.48
"cliniczflourzcubefflour","Cities","5",574055.86
"cliniczflourzcubefflour","Cities","6",587346.22
"cliniczflourzcubefflour","Cities","7",556806.52
"cliniczflourzcubefflour","Cities","8",584292.23
"cliniczflourzcubefflour","Cities","9",611149.50
"cliniczflourzcubefflour","Cities","10",613741.70
"cube","North","1",69578.81
"cube","North","2",53958.44
"cube","North","3",99343.35
"cube","North","4",442314.04
"cube","North","5",451055.00
"cube","North","6",482384.27
"cube","North","7",468799.89
"cube","North","8",508510.25
"cube","North","9",509390.54
"cube","North","10",496055.74
"cube","South","1",76549.21
"cube","South","2",59364.00
"cube","South","3",109295.57
"cube","South","4",486625.04
"cube","South","5",496241.67
"cube","South","6",530709.51
"cube","South","7",515764.24
"cube","South","8",559452.78
"cube","South","9",560421.27
"cube","South","10",545750.59
"cube","Cities","1",44303.66
"cube","Cities","2",34357.54
"cube","Cities","3",63255.95
"cube","Cities","4",281639.34
"cube","Cities","5",287205.06
"cube","Cities","6",307153.68
"cube","Cities","7",298503.95
"cube","Cities","8",323789.16
"cube","Cities","9",324349.67
"cube","Cities","10",315858.87
"cubeclinic","North","1",342024.90
"cubeclinic","North","2",329587.18
"cubeclinic","North","3",378178.73
"cubeclinic","North","4",724349.84
"cubeclinic","North","5",736257.79
"cubeclinic","North","6",770701.77
"cubeclinic","North","7",760168.87
"cubeclinic","North","8",802857.18
"cubeclinic","North","9",806626.70
"cubeclinic","North","10",796084.32
"cubeclinic","South","1",458063.27
"cubeclinic","South","2",441603.66
"cubeclinic","South","3",492201.94
"cubeclinic","South","4",870138.75
"cubeclinic","South","5",880298.51
"cubeclinic","South","6",915253.42
"cubeclinic","South","7",900755.36
"cubeclinic","South","8",944853.42
"cubeclinic","South","9",946187.01
"cubeclinic","South","10",931838.03
"cubeclinic","Cities","1",152990.94
"cubeclinic","Cities","2",143822.98
"cubeclinic","Cities","3",173499.29
"cubeclinic","Cities","4",392663.76
"cubeclinic","Cities","5",399016.78
"cubeclinic","Cities","6",419766.87
"cubeclinic","Cities","7",411939.27
"cubeclinic","Cities","8",438071.37
"cubeclinic","Cities","9",439508.50
"cubeclinic","Cities","10",431930.05
"cubeclinicfcube","North","1",342024.90
"cubeclinicfcube","North","2",329587.18
"cubeclinicfcube","North","3",378178.73
"cubeclinicfcube","North","4",897644.71
"cubeclinicfcube","North","5",913604.32
"cubeclinicfcube","North","6",952140.51
"cubeclinicfcube","North","7",945740.61
"cubeclinicfcube","North","8",992602.20
