"intervention","space","time","lives_saved"
"cube","Cities","3",0.00
"cube","Cities","4",215.72
"cube","Cities","5",221.03
"cube","Cities","6",225.93
"cube","Cities","7",230.43
"cube","Cities","8",235.33
"cube","Cities","9",239.82
"cube","Cities","10",244.32
"cubeclinic","North","1",220.10
"cubeclinic","North","2",221.70
"cubeclinic","North","3",223.50
"cubeclinic","North","4",986.27
"cubeclinic","North","5",1000.24
"cubeclinic","North","6",1015.52
"cubeclinic","North","7",1033.43
"cubeclinic","North","8",1051.33
"cubeclinic","North","9",1071.85
"cubeclinic","North","10",1094.55
"cubeclinic","South","1",107.64
"cubeclinic","South","2",108.36
"cubeclinic","South","3",108.84
"cubeclinic","South","4",555.95
"cubeclinic","South","5",558.99
"cubeclinic","South","6",560.82
"cubeclinic","South","7",562.65
"cubeclinic","South","8",564.48
"cubeclinic","South","9",566.31
"cubeclinic","South","10",566.92
"cubeclinic","Cities","1",48.50
"cubeclinic","Cities","2",49.90
"cubeclinic","Cities","3",51.40
"cubeclinic","Cities","4",243.46
"cubeclinic","Cities","5",249.45
"cubeclinic","Cities","6",254.98
"cubeclinic","Cities","7",260.05
"cubeclinic","Cities","8",265.59
"cubeclinic","Cities","9",270.66
"cubeclinic","Cities","10",275.73
"cubeclinicfcube","North","1",1257.95
"cubeclinicfcube","North","2",1266.94
"cubeclinicfcube","North","3",1278.79
"cubeclinicfcube","North","4",1295.27
"cubeclinicfcube","North","5",1315.24
"cubeclinicfcube","North","6",1335.52
"cubeclinicfcube","North","7",1358.43
"cubeclinicfcube","North","8",1383.33
"cubeclinicfcube","North","9",1411.85
"cubeclinicfcube","North","10",1442.55
"cubeclinicfcube","South","1",978.80
"cubeclinicfcube","South","2",984.46
"cubeclinicfcube","South","3",988.90
"cubeclinicfcube","South","4",994.95
"cubeclinicfcube","South","5",998.99
"cubeclinicfcube","South","6",1001.82
"cubeclinicfcube","South","7",1005.65
"cubeclinicfcube","South","8",1008.48
"cubeclinicfcube","South","9",1011.31
"cubeclinicfcube","South","10",1011.92
"cubeclinicfcube","Cities","1",406.63
"cubeclinicfcube","Cities","2",418.08
"cubeclinicfcube","Cities","3",430.00
"cubeclinicfcube","Cities","4",440.46
"cubeclinicfcube","Cities","5",449.45
"cubeclinicfcube","Cities","6",458.98
"cubeclinicfcube","Cities","7",469.05
"cubeclinicfcube","Cities","8",477.59
"cubeclinicfcube","Cities","9",485.66
"cubeclinicfcube","Cities","10",492.73
"cubeclinicfcubefflour","North","1",1264.95
"cubeclinicfcubefflour","North","2",1273.94
"cubeclinicfcubefflour","North","3",1285.79
"cubeclinicfcubefflour","North","4",1303.27
"cubeclinicfcubefflour","North","5",1322.24
"cubeclinicfcubefflour","North","6",1342.52
"cubeclinicfcubefflour","North","7",1366.43
"cubeclinicfcubefflour","North","8",1391.33
"cubeclinicfcubefflour","North","9",1419.85
"cubeclinicfcubefflour","North","10",1450.55
"cubeclinicfcubefflour","South","1",1002.80
"cubeclinicfcubefflour","South","2",1008.46
"cubeclinicfcubefflour","South","3",1012.90
"cubeclinicfcubefflour","South","4",1018.95
"cubeclinicfcubefflour","South","5",1022.99
"cubeclinicfcubefflour","South","6",1026.82
"cubeclinicfcubefflour","South","7",1030.65
"cubeclinicfcubefflour","South","8",1033.48
"cubeclinicfcubefflour","South","9",1036.31
"cubeclinicfcubefflour","South","10",1035.92
"cubeclinicfcubefflour","Cities","1",418.63
"cubeclinicfcubefflour","Cities","2",430.08
"cubeclinicfcubefflour","Cities","3",442.00
"cubeclinicfcubefflour","Cities","4",452.46
"cubeclinicfcubefflour","Cities","5",462.45
"cubeclinicfcubefflour","Cities","6",472.98
"cubeclinicfcubefflour","Cities","7",482.05
"cubeclinicfcubefflour","Cities","8",491.59
"cubeclinicfcubefflour","Cities","9",499.66
"cubeclinicfcubefflour","Cities","10",507.73
"cubeclinicfflour","North","1",1143.95
"cubeclinicfflour","North","2",1152.94
"cubeclinicfflour","North","3",1162.79
"cubeclinicfflour","North","4",1177.27
"cubeclinicfflour","North","5",1194.24
"cubeclinicfflour","North","6",1212.52
"cubeclinicfflour","North","7",1234.43
"cubeclinicfflour","North","8",1256.33
"cubeclinicfflour","North","9",1281.85
"cubeclinicfflour","North","10",1309.55
"cubeclinicfflour","South","1",830.80
"cubeclinicfflour","South","2",836.46
"cubeclinicfflour","South","3",839.90
"cubeclinicfflour","South","4",844.95
"cubeclinicfflour","South","5",848.99
"cubeclinicfflour","South","6",850.82
"cubeclinicfflour","South","7",854.65
"cubeclinicfflour","South","8",856.48
"cubeclinicfflour","South","9",859.31
"cubeclinicfflour","South","10",859.92
"cubeclinicfflour","Cities","1",405.63
"cubeclinicfflour","Cities","2",418.08
"cubeclinicfflour","Cities","3",429.00
"cubeclinicfflour","Cities","4",439.46
"cubeclinicfflour","Cities","5",449.45
"cubeclinicfflour","Cities","6",458.98
"cubeclinicfflour","Cities","7",468.05
"cubeclinicfflour","Cities","8",477.59
"cubeclinicfflour","Cities","9",485.66
"cubeclinicfflour","Cities","10",492.73
"cubecliniczflour","North","1",1151.22
"cubecliniczflour","North","2",1159.34
"cubecliniczflour","North","3",1168.32
"cubecliniczflour","North","4",1180.49
"cubecliniczflour","North","5",1197.28
"cubecliniczflour","North","6",1215.81
"cubecliniczflour","North","7",1235.66
"cubecliniczflour","North","8",1257.81
"cubecliniczflour","North","9",1282.28
"cubecliniczflour","North","10",1308.92
"cubecliniczflour","South","1",754.45
"cubecliniczflour","South","2",758.88
"cubecliniczflour","South","3",762.71
"cubecliniczflour","South","4",766.15
"cubecliniczflour","South","5",770.59
"cubecliniczflour","South","6",774.42
"cubecliniczflour","South","7",776.64
"cubecliniczflour","South","8",778.86
"cubecliniczflour","South","9",781.08
"cubecliniczflour","South","10",782.68
"cubecliniczflour","Cities","1",509.75
"cubecliniczflour","Cities","2",523.82
"cubecliniczflour","Cities","3",538.90
"cubecliniczflour","Cities","4",553.97
"cubecliniczflour","Cities","5",568.58
"cubecliniczflour","Cities","6",582.19
"cubecliniczflour","Cities","7",594.34
"cubecliniczflour","Cities","8",606.49
"cubecliniczflour","Cities","9",619.64
"cubecliniczflour","Cities","10",630.33
"cubecliniczflourfcube","North","1",1448.22
"cubecliniczflourfcube","North","2",1458.34
"cubecliniczflourfcube","North","3",1471.32
"cubecliniczflourfcube","North","4",1489.49
"cubecliniczflourfcube","North","5",1512.28
"cubecliniczflourfcube","North","6",1535.81
"cubecliniczflourfcube","North","7",1560.66
"cubecliniczflourfcube","North","8",1589.81
"cubecliniczflourfcube","North","9",1622.28
"cubecliniczflourfcube","North","10",1656.92
"cubecliniczflourfcube","South","1",1186.45
"cubecliniczflourfcube","South","2",1192.88
"cubecliniczflourfcube","South","3",1198.71
"cubecliniczflourfcube","South","4",1205.15
"cubecliniczflourfcube","South","5",1210.59
"cubecliniczflourfcube","South","6",1215.42
"cubecliniczflourfcube","South","7",1219.64
"cubecliniczflourfcube","South","8",1222.86
"cubecliniczflourfcube","South","9",1226.08
"cubecliniczflourfcube","South","10",1227.68
"cubecliniczflourfcube","Cities","1",692.75
"cubecliniczflourfcube","Cities","2",711.82
"cubecliniczflourfcube","Cities","3",731.90
"cubecliniczflourfcube","Cities","4",750.97
"cubecliniczflourfcube","Cities","5",768.58
"cubecliniczflourfcube","Cities","6",786.19
"cubecliniczflourfcube","Cities","7",803.34
"cubecliniczflourfcube","Cities","8",818.49
"cubecliniczflourfcube","Cities","9",834.64
"cubecliniczflourfcube","Cities","10",847.33
"cubecliniczflourfcubefflour","North","1",1455.22
"cubecliniczflourfcubefflour","North","2",1465.34
"cubecliniczflourfcubefflour","North","3",1478.32
"cubecliniczflourfcubefflour","North","4",1497.49
"cubecliniczflourfcubefflour","North","5",1519.28
"cubecliniczflourfcubefflour","North","6",1542.81
"cubecliniczflourfcubefflour","North","7",1568.66
"cubecliniczflourfcubefflour","North","8",1597.81
"cubecliniczflourfcubefflour","North","9",1630.28
"cubecliniczflourfcubefflour","North","10",1664.92
"cubecliniczflourfcubefflour","South","1",1210.45
"cubecliniczflourfcubefflour","South","2",1216.88
"cubecliniczflourfcubefflour","South","3",1222.71
"cubecliniczflourfcubefflour","South","4",1229.15
"cubecliniczflourfcubefflour","South","5",1234.59
"cubecliniczflourfcubefflour","South","6",1240.42
"cubecliniczflourfcubefflour","South","7",1244.64
"cubecliniczflourfcubefflour","South","8",1247.86
"cubecliniczflourfcubefflour","South","9",1251.08
"cubecliniczflourfcubefflour","South","10",1251.68
"cubecliniczflourfcubefflour","Cities","1",704.75
"cubecliniczflourfcubefflour","Cities","2",723.82
"cubecliniczflourfcubefflour","Cities","3",743.90
"cubecliniczflourfcubefflour","Cities","4",762.97
"cubecliniczflourfcubefflour","Cities","5",781.58
"cubecliniczflourfcubefflour","Cities","6",800.19
"cubecliniczflourfcubefflour","Cities","7",816.34
"cubecliniczflourfcubefflour","Cities","8",832.49
"cubecliniczflourfcubefflour","Cities","9",848.64
"cubecliniczflourfcubefflour","Cities","10",862.33
"cubecliniczflourfflour","North","1",1334.22
"cubecliniczflourfflour","North","2",1344.34
"cubecliniczflourfflour","North","3",1355.32
"cubecliniczflourfflour","North","4",1371.49
"cubecliniczflourfflour","North","5",1391.28
"cubecliniczflourfflour","North","6",1412.81
"cubecliniczflourfflour","North","7",1436.66
"cubecliniczflourfflour","North","8",1462.81
"cubecliniczflourfflour","North","9",1492.28
"cubecliniczflourfflour","North","10",1523.92
"cubecliniczflourfflour","South","1",1038.45
"cubecliniczflourfflour","South","2",1044.88
"cubecliniczflourfflour","South","3",1049.71
"cubecliniczflourfflour","South","4",1055.15
"cubecliniczflourfflour","South","5",1060.59
