,intervention,space,time,opt_vals,opt_benefit,opt_costs
240,vascube,Cities,1,0,0.0,0.0
241,vascube,Cities,2,0,0.0,0.0
242,vascube,Cities,3,0,0.0,0.0
243,vascube,Cities,4,0,0.0,0.0
244,vascube,Cities,5,0,0.0,0.0
245,vascube,Cities,6,0,0.0,0.0
246,vascube,Cities,7,0,0.0,0.0
247,vascube,Cities,8,0,0.0,0.0
248,vascube,Cities,9,0,0.0,0.0
249,vascube,Cities,10,0,0.0,0.0
250,vascube,North,1,0,0.0,0.0
251,vascube,North,2,0,0.0,0.0
252,vascube,North,3,0,0.0,0.0
253,vascube,North,4,0,0.0,0.0
254,vascube,North,5,0,0.0,0.0
255,vascube,North,6,0,0.0,0.0
256,vascube,North,7,0,0.0,0.0
257,vascube,North,8,0,0.0,0.0
258,vascube,North,9,0,0.0,0.0
259,vascube,North,10,0,0.0,0.0
260,vascube,South,1,0,0.0,0.0
261,vascube,South,2,0,0.0,0.0
262,vascube,South,3,0,0.0,0.0
263,vascube,South,4,0,0.0,0.0
264,vascube,South,5,0,0.0,0.0
265,vascube,South,6,0,0.0,0.0
266,vascube,South,7,0,0.0,0.0
267,vascube,South,8,0,0.0,0.0
268,vascube,South,9,0,0.0,0.0
269,vascube,South,10,0,0.0,0.0
270,vascubemaize,Cities,1,0,0.0,0.0
271,vascubemaize,Cities,2,0,0.0,0.0
272,vascubemaize,Cities,3,0,0.0,0.0
273,vascubemaize,Cities,4,0,0.0,0.0
274,vascubemaize,Cities,5,0,0.0,0.0
275,vascubemaize,Cities,6,0,0.0,0.0
276,vascubemaize,Cities,7,0,0.0,0.0
277,vascubemaize,Cities,8,0,0.0,0.0
278,vascubemaize,Cities,9,0,0.0,0.0
279,vascubemaize,Cities,10,0,0.0,0.0
280,vascubemaize,North,1,0,0.0,0.0
281,vascubemaize,North,2,0,0.0,0.0
282,vascubemaize,North,3,0,0.0,0.0
283,vascubemaize,North,4,0,0.0,0.0
284,vascubemaize,North,5,0,0.0,0.0
285,vascubemaize,North,6,0,0.0,0.0
286,vascubemaize,North,7,0,0.0,0.0
287,vascubemaize,North,8,0,0.0,0.0
288,vascubemaize,North,9,0,0.0,0.0
289,vascubemaize,North,10,0,0.0,0.0
290,vascubemaize,South,1,0,0.0,0.0
291,vascubemaize,South,2,0,0.0,0.0
292,vascubemaize,South,3,0,0.0,0.0
293,vascubemaize,South,4,0,0.0,0.0
294,vascubemaize,South,5,0,0.0,0.0
295,vascubemaize,South,6,0,0.0,0.0
296,vascubemaize,South,7,0,0.0,0.0
297,vascubemaize,South,8,0,0.0,0.0
298,vascubemaize,South,9,0,0.0,0.0
299,vascubemaize,South,10,0,0.0,0.0
300,vasmaize,Cities,1,0,0.0,0.0
301,vasmaize,Cities,2,0,0.0,0.0
302,vasmaize,Cities,3,0,0.0,0.0
303,vasmaize,Cities,4,1,346523.805595632,195288.33343610002
304,vasmaize,Cities,5,1,352336.322674316,198158.46957311
305,vasmaize,Cities,6,1,357857.11616657797,202140.76422919802
306,vasmaize,Cities,7,1,363068.377365108,203457.80161384898
307,vasmaize,Cities,8,1,368021.742098509,205903.700856582
308,vasmaize,Cities,9,1,372788.727873919,208257.568888865
309,vasmaize,Cities,10,1,377482.3116229,210575.19207133102
310,vasmaize,North,1,0,0.0,0.0
311,vasmaize,North,2,0,0.0,0.0
312,vasmaize,North,3,0,0.0,0.0
313,vasmaize,North,4,0,0.0,0.0
314,vasmaize,North,5,0,0.0,0.0
315,vasmaize,North,6,0,0.0,0.0
316,vasmaize,North,7,0,0.0,0.0
317,vasmaize,North,8,0,0.0,0.0
318,vasmaize,North,9,0,0.0,0.0
319,vasmaize,North,10,0,0.0,0.0
320,vasmaize,South,1,0,0.0,0.0
321,vasmaize,South,2,0,0.0,0.0
322,vasmaize,South,3,0,0.0,0.0
323,vasmaize,South,4,0,0.0,0.0
324,vasmaize,South,5,0,0.0,0.0
325,vasmaize,South,6,0,0.0,0.0
326,vasmaize,South,7,0,0.0,0.0
327,vasmaize,South,8,0,0.0,0.0
328,vasmaize,South,9,0,0.0,0.0
329,vasmaize,South,10,0,0.0,0.0
330,vasoil,Cities,1,1,357803.541163704,263082.890288635
331,vasoil,Cities,2,1,370752.01797727,288239.541457625
332,vasoil,Cities,3,1,378643.32948109,314373.526688745
333,vasoil,Cities,4,1,385426.686057512,319392.96811374
334,vasoil,Cities,5,0,0.0,0.0
335,vasoil,Cities,6,1,398032.34334536205,329098.875614403
336,vasoil,Cities,7,1,403828.652578654,333771.74181726103
337,vasoil,Cities,8,1,409338.112313311,338346.705484738
338,vasoil,Cities,9,1,414640.26904895296,342857.81724244397
339,vasoil,Cities,10,0,0.0,0.0
340,vasoil,North,1,0,0.0,0.0
341,vasoil,North,2,1,767849.839643467,820797.6391108821
342,vasoil,North,3,0,0.0,0.0
343,vasoil,North,4,0,0.0,0.0
344,vasoil,North,5,0,0.0,0.0
345,vasoil,North,6,0,0.0,0.0
346,vasoil,North,7,0,0.0,0.0
347,vasoil,North,8,0,0.0,0.0
