intervention,region,time,effective_coverage,above_ul,costs,pop
current fortification 2 + vas,Cascades,2027,104438.49953396042,517.4503837887266,48468929912.95333,145423.94976493224
current fortification 2 + vas,Cascades,2028,106304.82473171789,526.6972677842224,49335073965.2764,148022.6885730808
current fortification 2 + vas,Cascades,2029,108164.13715134838,535.9094063099018,50197963452.92218,150611.66253494567
current fortification 2 + vas,Cascades,2030,110050.75971070357,545.2568554953947,51073527320.74517,153238.66412460222
current fortification 2 + vas,Centre,2020,279301.1189594047,13541.792226949321,74552065679.15854,447550.49093612924
current fortification 2 + vas,Centre,2021,284902.4525082418,13813.370426831927,76047193905.56737,456526.0352841754
current fortification 2 + vas,Centre,2022,290153.1798976967,14067.949640883284,77448737066.79936,464939.77035862696
current fortification 2 + vas,Centre,2023,295208.37538225175,14313.048576302896,78798088144.19447,473040.18624424876
current fortification 2 + vas,Centre,2024,300324.05626067123,14561.080119509867,80163584201.86325,481237.52357372077
current fortification 2 + vas,Centre,2025,305734.6034341804,14823.408125680216,81607787038.36627,489907.3529419627
current fortification 2 + vas,Centre,2026,311672.7891499119,15111.318455102,83192829064.49078,499422.6672459195
current fortification 2 + vas,Centre,2027,317430.8056073236,15390.493357072075,84729779660.01283,508649.2793767054
current fortification 2 + vas,Centre,2028,323103.322099738,15665.522830746986,86243908295.38737,517738.88686013385
current fortification 2 + vas,Centre,2029,328754.5239254314,15939.518872156403,87752347542.76653,526794.3398453969
current fortification 2 + vas,Centre,2030,334488.7323022794,16217.539449784643,89282943199.24467,535982.8020461566
current fortification 2 + vas,Centre-Est,2020,164845.53781859422,3968.4186528475475,55088250296.88593,247693.39851570752
current fortification 2 + vas,Centre-Est,2021,168151.48533788646,4048.004572942829,56193035217.491745,252660.84493375485
current fortification 2 + vas,Centre-Est,2022,171250.50256946194,4122.608944708195,57228667963.06999,257317.3623033205
current fortification 2 + vas,Centre-Est,2023,174234.11545842685,4194.43512331228,58225734767.49383,261800.475562572
current fortification 2 + vas,Centre-Est,2024,177253.42726374022,4267.120701857657,59234731472.266525,266337.22925413784
current fortification 2 + vas,Centre-Est,2025,180446.77128625242,4343.995855116838,60301886441.23999,271135.4800532362
current fortification 2 + vas,Centre-Est,2026,183951.53138754916,4428.367901480917,61473110753.68236,276401.6580278427
current fortification 2 + vas,Centre-Est,2027,187349.9542912122,4510.18003312625,62608799192.74511,281508.05599130015
current fortification 2 + vas,Centre-Est,2028,190697.9144979624,4590.777348099251,63727623956.18172,286538.6297798238
current fortification 2 + vas,Centre-Est,2029,194033.29463445683,4671.071816018471,64842244698.88368,291550.30102238565
current fortification 2 + vas,Centre-Est,2030,197417.66583700394,4752.545673218827,65973237326.10697,296635.5851986555
current fortification 2 + vas,Centre-Nord,2020,137847.07736709274,,76034701174.42738,259646.7723712599
current fortification 2 + vas,Centre-Nord,2021,140611.5756331297,,77559563388.1947,264853.94154533616
current fortification 2 + vas,Centre-Nord,2022,143203.03472711524,,78988979387.28923,269735.176623637
current fortification 2 + vas,Centre-Nord,2023,145697.9904425147,,80365165345.57866,274434.63932597317
current fortification 2 + vas,Centre-Nord,2024,148222.79829312468,,81757817363.3849,279190.3310808496
current fortification 2 + vas,Centre-Nord,2025,150893.1353028859,,83230741421.3358,284220.1394668599
current fortification 2 + vas,Centre-Nord,2026,153823.88455597276,,84847305572.94423,289740.4566090727
current fortification 2 + vas,Centre-Nord,2027,156665.71255524116,,86414821887.694,295093.28295648465
current fortification 2 + vas,Centre-Nord,2028,159465.34265593407,,87959062376.29166,300366.6259490425
current fortification 2 + vas,Centre-Nord,2029,162254.4530547243,,89497500330.61806,305620.1541823939
current fortification 2 + vas,Centre-Nord,2030,165084.53074545233,,91058535324.06863,310950.84781763575
current fortification 2 + vas,Centre-Ouest,2020,168361.36940549267,1095.241498626361,86401960715.14772,252398.93526040527
current fortification 2 + vas,Centre-Ouest,2021,171737.82629292898,1117.2063692763284,88134736448.52888,257460.7503688881
current fortification 2 + vas,Centre-Ouest,2022,174902.93947599514,1137.7963853719705,89759051966.20343,262205.72957763117
current fortification 2 + vas,Centre-Ouest,2023,177950.1869684617,1157.6196495929705,91322879577.38963,266774.0104444914
current fortification 2 + vas,Centre-Ouest,2024,181033.89476505452,1177.6800990915235,92905418379.72319,271396.95077375224
current fortification 2 + vas,Centre-Ouest,2025,184295.34654426278,1198.896826818146,94579174238.90015,276286.3559822161
current fortification 2 + vas,Centre-Ouest,2026,187874.8562956362,1222.1826176042716,96416155382.55414,281652.5777775789
current fortification 2 + vas,Centre-Ouest,2027,191345.76088578248,1244.761899053006,98197401063.21599,286855.984153025
current fortification 2 + vas,Centre-Ouest,2028,194765.1265087929,1267.0059039724338,99952197280.85968,291982.125889466
current fortification 2 + vas,Centre-Ouest,2029,198171.64375335452,1289.1663263140003,101700399794.17618,297089.0059802472
current fortification 2 + vas,Centre-Ouest,2030,201628.19694719583,1311.6522476002938,103474280431.51405,302270.89746091864
current fortification 2 + vas,Centre-Sud,2020,100069.44633335041,3780.4562467667624,33650116856.231354,133621.29060735472
current fortification 2 + vas,Centre-Sud,2021,102076.32102489799,3856.272614720531,34324963878.5825,136301.04148234735
current fortification 2 + vas,Centre-Sud,2022,103957.57873223456,3927.3433831925295,34957569973.730484,138813.05780730996
current fortification 2 + vas,Centre-Sud,2023,105768.7802595718,3995.7675464018103,35566618442.351524,141231.52912398553
current fortification 2 + vas,Centre-Sud,2024,107601.65280597916,4065.0104044517184,36182954173.47699,143678.93744034512
current fortification 2 + vas,Centre-Sud,2025,109540.17157035341,4138.24439984968,36834815309.31152,146267.41363016426
current fortification 2 + vas,Centre-Sud,2026,111667.7353947011,4218.620201304171,37550246181.88677,149108.31896616303
current fortification 2 + vas,Centre-Sud,2027,113730.74724735058,4296.557337275946,38243970315.08714,151863.02898395417
current fortification 2 + vas,Centre-Sud,2028,115763.12573128786,4373.337195833377,38927393437.593094,154576.83470564938
current fortification 2 + vas,Centre-Sud,2029,117787.8674864305,4449.828551554684,39608248575.30694,157280.44321336024
current fortification 2 + vas,Centre-Sud,2030,119842.34925710552,4527.443435301956,40299104317.947044,160023.76313553101
current fortification 2 + vas,Est,2020,124466.91480670159,2331.705489400813,97737793074.24763,274863.2348039935
current fortification 2 + vas,Est,2021,126963.07632665726,2378.4674223012207,99697906880.36401,280375.567386783
current fortification 2 + vas,Est,2022,129302.99476698218,2422.3023697692206,101535330622.13719,285542.86467766593
current fortification 2 + vas,Est,2023,131555.77695436322,2464.5049470637446,103304330517.51938,290517.73691816453
current fortification 2 + vas,Est,2024,133835.51367165527,2507.212478027726,105094496489.61317,295552.13348523196
current fortification 2 + vas,Est,2025,136246.6537222638,2552.38165813032,106987847085.67632,300876.7111443228
current fortification 2 + vas,Est,2026,138892.92903379866,2601.9557532218087,109065837925.39429,306720.5435670997
current fortification 2 + vas,Est,2027,141458.91425623672,2650.025731000016,111080780877.035,312387.06948520336
current fortification 2 + vas,Est,2028,143986.79753014358,2697.3819245353584,113065804228.21762,317969.45396827674
current fortification 2 + vas,Est,2029,146505.18219975996,2744.5601756206916,115043368789.06966,323530.86245860974
current fortification 2 + vas,Est,2030,149060.5576604245,2792.431395039644,117049980412.643,329173.9585885958
current fortification 2 + vas,Hauts Bassins,2020,242062.62319072286,8162.986476960866,115844454611.72443,333805.28757823096
current fortification 2 + vas,Hauts Bassins,2021,246917.1454255399,8326.693697979017,118167694248.146,340499.6923950012
current fortification 2 + vas,Hauts Bassins,2022,251467.80691334995,8480.153937716037,120345514562.69566,346775.0720739728
current fortification 2 + vas,Hauts Bassins,2023,255849.00625939036,8627.899469608497,122442234998.49545,352816.7628082349
