"intervention","space","time","costs"
"oilcubevas","North","5",1269028.29
"oilcubevas","North","6",1295774.32
"oilcubevas","North","7",1277531.38
"oilcubevas","North","8",1312508.20
"oilcubevas","North","9",1308582.83
"oilcubevas","North","10",1290369.47
"oilcubevas","South","1",1526106.88
"oilcubevas","South","2",1510405.12
"oilcubevas","South","3",1561816.51
"oilcubevas","South","4",1610493.42
"oilcubevas","South","5",1613784.40
"oilcubevas","South","6",1641835.17
"oilcubevas","South","7",1620384.99
"oilcubevas","South","8",1657487.69
"oilcubevas","South","9",1651795.45
"oilcubevas","South","10",1630391.94
"oilcubevas","Cities","1",729107.41
"oilcubevas","Cities","2",721413.12
"oilcubevas","Cities","3",752590.36
"oilcubevas","Cities","4",782218.25
"oilcubevas","Cities","5",785615.68
"oilcubevas","Cities","6",803384.17
"oilcubevas","Cities","7",792546.15
"oilcubevas","Cities","8",815639.29
"oilcubevas","Cities","9",814010.12
"oilcubevas","Cities","10",803338.33
"maxoilvas","North","1",1167334.56
"maxoilvas","North","2",1169811.34
"maxoilvas","North","3",1211522.30
"maxoilvas","North","4",1194597.90
"maxoilvas","North","5",1224914.21
"maxoilvas","North","6",1220716.03
"maxoilvas","North","7",1203843.20
"maxoilvas","North","8",1206946.66
"maxoilvas","North","9",1230027.29
"maxoilvas","North","10",1240432.06
"maxoilvas","South","1",1492562.60
"maxoilvas","South","2",1494046.06
"maxoilvas","South","3",1527739.01
"maxoilvas","South","4",1513208.14
"maxoilvas","South","5",1537481.27
"maxoilvas","South","6",1533372.81
"maxoilvas","South","7",1518842.48
"maxoilvas","South","8",1520732.71
"maxoilvas","South","9",1539047.30
"maxoilvas","South","10",1546951.49
"maxoilvas","Cities","1",750860.71
"maxoilvas","Cities","2",753112.55
"maxoilvas","Cities","3",804871.78
"maxoilvas","Cities","4",782595.97
"maxoilvas","Cities","5",819968.76
"maxoilvas","Cities","6",813795.28
"maxoilvas","Cities","7",791659.33
"maxoilvas","Cities","8",794785.79
"maxoilvas","Cities","9",823179.72
"maxoilvas","Cities","10",835626.27
"maxoilcubevas","North","1",1236913.37
"maxoilcubevas","North","2",1223769.78
"maxoilcubevas","North","3",1310865.66
"maxoilcubevas","North","4",1336845.48
"maxoilcubevas","North","5",1368819.74
"maxoilcubevas","North","6",1388792.02
"maxoilcubevas","North","7",1351099.17
"maxoilcubevas","North","8",1386600.80
"maxoilcubevas","North","9",1403175.20
"maxoilcubevas","North","10",1392786.36
"maxoilcubevas","South","1",1569111.82
"maxoilcubevas","South","2",1553410.06
"maxoilcubevas","South","3",1637034.58
"maxoilcubevas","South","4",1669706.08
"maxoilcubevas","South","5",1695803.25
"maxoilcubevas","South","6",1718286.65
"maxoilcubevas","South","7",1680850.54
"maxoilcubevas","South","8",1718384.59
"maxoilcubevas","South","9",1729541.17
"maxoilcubevas","South","10",1714568.65
"maxoilcubevas","Cities","1",795164.37
"maxoilcubevas","Cities","2",787470.08
"maxoilcubevas","Cities","3",868127.73
"maxoilcubevas","Cities","4",873170.79
"maxoilcubevas","Cities","5",911599.27
"maxoilcubevas","Cities","6",920816.10
"maxoilcubevas","Cities","7",885423.19
"maxoilcubevas","Cities","8",909178.89
"maxoilcubevas","Cities","9",933430.03
"maxoilcubevas","Cities","10",932636.45
"vas","North","1",1020857.60
"vas","North","2",1021901.76
"vas","North","3",1022964.30
"vas","North","4",1024035.92
"vas","North","5",1025103.78
"vas","North","6",1026155.33
"vas","North","7",1027183.67
"vas","North","8",1028187.88
"vas","North","9",1029167.86
"vas","North","10",1030119.87
"vas","South","1",1372172.81
"vas","South","2",1372478.80
"vas","South","3",1372762.70
"vas","South","4",1373022.81
"vas","South","5",1373256.56
"vas","South","6",1373462.87
"vas","South","7",1373645.55
"vas","South","8",1373810.40
"vas","South","9",1373960.42
"vas","South","10",1374095.37
"vas","Cities","1",565938.13
"vas","Cities","2",566381.33
"vas","Cities","3",566823.19
"vas","Cities","4",567266.81
"vas","Cities","5",567714.34
"vas","Cities","6",568168.49
"vas","Cities","7",568632.18
"vas","Cities","8",569108.41
"vas","Cities","9",569600.97
"vas","Cities","10",570113.71
"cubevas","North","1",1090436.41
"cubevas","North","2",1075860.20
"cubevas","North","3",1122307.65
"cubevas","North","4",1166283.51
"cubevas","North","5",1169009.31
"cubevas","North","6",1194231.32
"cubevas","North","7",1174439.64
"cubevas","North","8",1207842.01
"cubevas","North","9",1202315.78
"cubevas","North","10",1182474.18
"cubevas","South","1",1448722.03
"cubevas","South","2",1431842.79
"cubevas","South","3",1482058.27
"cubevas","South","4",1529520.75
"cubevas","South","5",1531578.55
"cubevas","South","6",1558376.71
"cubevas","South","7",1535653.62
"cubevas","South","8",1571462.28
"cubevas","South","9",1564454.29
"cubevas","South","10",1541712.52
"cubevas","Cities","1",610241.79
"cubevas","Cities","2",600738.87
"cubevas","Cities","3",630079.15
"cubevas","Cities","4",657841.63
"cubevas","Cities","5",659344.85
"cubevas","Cities","6",675189.30
"cubevas","Cities","7",662396.05
"cubevas","Cities","8",683501.51
"cubevas","Cities","9",679851.29
"cubevas","Cities","10",667123.90
"maxoilclinic","North","1",418923.05
"maxoilclinic","North","2",423538.31
"maxoilclinic","North","3",467393.39
"maxoilclinic","North","4",452597.77
"maxoilclinic","North","5",485013.22
"maxoilclinic","North","6",482878.19
"maxoilclinic","North","7",468028.52
"maxoilclinic","North","8",473105.72
"maxoilclinic","North","9",498095.59
"maxoilclinic","North","10",510340.76
"maxoilclinic","South","1",501903.85
"maxoilclinic","South","2",503806.92
"maxoilclinic","South","3",537882.68
"maxoilclinic","South","4",523699.03
"maxoilclinic","South","5",548281.55
"maxoilclinic","South","6",544453.85
"maxoilclinic","South","7",530188.05
"maxoilclinic","South","8",532322.95
"maxoilclinic","South","9",550852.62
"maxoilclinic","South","10",558943.57
"maxoilclinic","Cities","1",293609.87
"maxoilclinic","Cities","2",296196.66
"maxoilclinic","Cities","3",348291.92
"maxoilclinic","Cities","4",326353.58
"maxoilclinic","Cities","5",364066.14
"maxoilclinic","Cities","6",358239.98
"maxoilclinic","Cities","7",336462.46
"maxoilclinic","Cities","8",339959.60
"maxoilclinic","Cities","9",368737.57
"maxoilclinic","Cities","10",381583.74
"oilclinic","North","1",366599.41
"oilclinic","North","2",371214.67
"oilclinic","North","3",375876.37
"oilclinic","North","4",380554.37
"oilclinic","North","5",385221.76
"oilclinic","North","6",389860.50
"oilclinic","North","7",394460.73
"oilclinic","North","8",399013.12
"oilclinic","North","9",403503.21
"oilclinic","North","10",407923.87
"oilclinic","South","1",458898.91
"oilclinic","South","2",460801.99
"oilclinic","South","3",462664.61
"oilclinic","South","4",464486.38
"oilclinic","South","5",466262.69
"oilclinic","South","6",468002.37
"oilclinic","South","7",469722.49
"oilclinic","South","8",471426.05
"oilclinic","South","9",473106.90
"oilclinic","South","10",474766.86
"oilclinic","Cities","1",227552.91
"oilclinic","Cities","2",230139.70
"oilclinic","Cities","3",232754.54
"oilclinic","Cities","4",235401.04
"oilclinic","Cities","5",238082.54
"oilclinic","Cities","6",240808.05
"oilclinic","Cities","7",243585.43
"oilclinic","Cities","8",246420.00
"oilclinic","Cities","9",249317.66
"oilclinic","Cities","10",252285.61
"clinic","North","1",272446.09
"clinic","North","2",275628.73
"clinic","North","3",278835.38
"clinic","North","4",282035.80
"clinic","North","5",285202.79
"clinic","North","6",288317.50
"clinic","North","7",291368.99
"clinic","North","8",294346.93
"clinic","North","9",297236.16
"clinic","North","10",300028.58
"clinic","South","1",381514.06
"clinic","South","2",382239.66
"clinic","South","3",382906.37
"clinic","South","4",383513.71
"clinic","South","5",384056.84
"clinic","South","6",384543.92
"clinic","South","7",384991.12
"clinic","South","8",385400.64
"clinic","South","9",385765.74
"clinic","South","10",386087.45
"clinic","Cities","1",108687.29
"clinic","Cities","2",109465.44
"clinic","Cities","3",110243.33
"clinic","Cities","4",111024.42
"clinic","Cities","5",111811.72
"clinic","Cities","6",112613.19
"clinic","Cities","7",113435.32
"clinic","Cities","8",114282.22
"clinic","Cities","9",115158.83
"clinic","Cities","10",116071.18
"cubeclinic","North","1",342024.90
"cubeclinic","North","2",329587.18
"cubeclinic","North","3",378178.73
"cubeclinic","North","4",424283.39
"cubeclinic","North","5",429108.32
"cubeclinic","North","6",456393.49
"cubeclinic","North","7",438624.95
"cubeclinic","North","8",474001.07
"cubeclinic","North","9",470384.08
"cubeclinic","North","10",452382.88
"cubeclinic","South","1",458063.27
"cubeclinic","South","2",441603.66
"cubeclinic","South","3",492201.94
"cubeclinic","South","4",540011.65
"cubeclinic","South","5",542378.83
"cubeclinic","South","6",569457.75
"cubeclinic","South","7",546999.19
"cubeclinic","South","8",583052.52
"cubeclinic","South","9",576259.61
"cubeclinic","South","10",553704.60
"cubeclinic","Cities","1",152990.94
"cubeclinic","Cities","2",143822.98
"cubeclinic","Cities","3",173499.29
"cubeclinic","Cities","4",201599.25
"cubeclinic","Cities","5",203442.22
"cubeclinic","Cities","6",219634.01
"cubeclinic","Cities","7",207199.19
"cubeclinic","Cities","8",228675.31
"cubeclinic","Cities","9",225409.14
"cubeclinic","Cities","10",213081.37
"oilcubeclinic","North","1",436178.22
"oilcubeclinic","North","2",425173.11
"oilcubeclinic","North","3",475219.72
"oilcubeclinic","North","4",522801.96
"oilcubeclinic","North","5",529127.30
"oilcubeclinic","North","6",557936.49
"oilcubeclinic","North","7",541716.70
"oilcubeclinic","North","8",578667.25
"oilcubeclinic","North","9",576651.13
"oilcubeclinic","North","10",560278.17
"oilcubeclinic","South","1",535448.12
"oilcubeclinic","South","2",520165.98
"oilcubeclinic","South","3",571960.17
"oilcubeclinic","South","4",620984.32
"oilcubeclinic","South","5",624584.68
"oilcubeclinic","South","6",652916.21
"oilcubeclinic","South","7",631730.56
"oilcubeclinic","South","8",669077.93
"oilcubeclinic","South","9",663600.77
"oilcubeclinic","South","10",642384.02
"oilcubeclinic","Cities","1",271856.56
"oilcubeclinic","Cities","2",264497.23
"oilcubeclinic","Cities","3",296010.50
"oilcubeclinic","Cities","4",325975.86
"oilcubeclinic","Cities","5",329713.05
"oilcubeclinic","Cities","6",347828.87
"oilcubeclinic","Cities","7",337349.29
"oilcubeclinic","Cities","8",360813.10
"oilcubeclinic","Cities","9",359567.97
"oilcubeclinic","Cities","10",349295.80
"maxoilcubeclinic","North","1",488501.86
"maxoilcubeclinic","North","2",477496.76
"maxoilcubeclinic","North","3",566736.74
"maxoilcubeclinic","North","4",594845.36
"maxoilcubeclinic","North","5",628918.75
"maxoilcubeclinic","North","6",650954.19
"maxoilcubeclinic","North","7",615284.49
"maxoilcubeclinic","North","8",652759.86
"maxoilcubeclinic","North","9",671243.50
"maxoilcubeclinic","North","10",662695.07
"maxoilcubeclinic","South","1",578453.06
"maxoilcubeclinic","South","2",563170.92
"maxoilcubeclinic","South","3",647178.25
"maxoilcubeclinic","South","4",680196.98
"maxoilcubeclinic","South","5",706603.53
"maxoilcubeclinic","South","6",729367.69
"maxoilcubeclinic","South","7",692196.11
"maxoilcubeclinic","South","8",729974.83
"maxoilcubeclinic","South","9",741346.49
"maxoilcubeclinic","South","10",726560.73
"maxoilcubeclinic","Cities","1",337913.52
"maxoilcubeclinic","Cities","2",330554.20
"maxoilcubeclinic","Cities","3",411547.87
"maxoilcubeclinic","Cities","4",416928.40
"maxoilcubeclinic","Cities","5",455696.64
"maxoilcubeclinic","Cities","6",465260.80
"maxoilcubeclinic","Cities","7",430226.33
"maxoilcubeclinic","Cities","8",454352.69
"maxoilcubeclinic","Cities","9",478987.89
"maxoilcubeclinic","Cities","10",478593.92
"cubeflour","North","1",289857.19
"cubeflour","North","2",278558.57
"cubeflour","North","3",342875.76
"cubeflour","North","4",375695.63
"cubeflour","North","5",401729.40
"cubeflour","North","6",425199.41
"cubeflour","North","7",394518.61
"cubeflour","North","8",431681.60
"cubeflour","North","9",444569.46
"cubeflour","North","10",434021.90
"cubeflour","South","1",424888.99
"cubeflour","South","2",414538.02
"cubeflour","South","3",494408.37
"cubeflour","South","4",525663.72
"cubeflour","South","5",566034.76
"cubeflour","South","6",591518.95
"cubeflour","South","7",553019.71
"cubeflour","South","8",596198.44
"cubeflour","South","9",619709.49
"cubeflour","South","10",613035.48
"cubeflour","Cities","1",408477.82
"cubeflour","Cities","2",405676.61
"cubeflour","Cities","3",465874.72
"cubeflour","Cities","4",476521.67
"cubeflour","Cities","5",517876.57
"cubeflour","Cities","6",532108.87
"cubeflour","Cities","7",502549.62
"cubeflour","Cities","8",531056.28
"cubeflour","Cities","9",558976.68
"cubeflour","Cities","10",562675.77
"oilvasflour","North","1",1335289.29
"oilvasflour","North","2",1342087.82
"oilvasflour","North","3",1363537.69
"oilvasflour","North","4",1356002.54
"oilvasflour","North","5",1382946.62
"oilvasflour","North","6",1384821.76
"oilvasflour","North","7",1377538.05
"oilvasflour","North","8",1384881.53
"oilvasflour","North","9",1406856.46
"oilvasflour","North","10",1419682.76
"oilvasflour","South","1",1797897.44
"oilvasflour","South","2",1806215.15
"oilvasflour","South","3",1837633.74
"oilvasflour","South","4",1823161.26
