"intervention","space","time","lives_saved"
"oilcubeclinic","South","4",1019.33
"oilcubeclinic","South","5",1023.59
"oilcubeclinic","South","6",1027.03
"oilcubeclinic","South","7",1030.66
"oilcubeclinic","South","8",1034.11
"oilcubeclinic","South","9",1035.92
"oilcubeclinic","South","10",1036.74
"oilcubeclinic","Cities","1",210.90
"oilcubeclinic","Cities","2",217.74
"oilcubeclinic","Cities","3",223.44
"oilcubeclinic","Cities","4",503.58
"oilcubeclinic","Cities","5",514.97
"oilcubeclinic","Cities","6",526.60
"oilcubeclinic","Cities","7",537.70
"oilcubeclinic","Cities","8",547.56
"oilcubeclinic","Cities","9",557.43
"oilcubeclinic","Cities","10",565.53
"maxoilcubeclinic","North","1",565.76
"maxoilcubeclinic","North","2",569.50
"maxoilcubeclinic","North","3",674.66
"maxoilcubeclinic","North","4",1498.15
"maxoilcubeclinic","North","5",1520.87
"maxoilcubeclinic","North","6",1544.67
"maxoilcubeclinic","North","7",1570.57
"maxoilcubeclinic","North","8",1599.17
"maxoilcubeclinic","North","9",1632.25
"maxoilcubeclinic","North","10",1667.42
"maxoilcubeclinic","South","1",287.41
"maxoilcubeclinic","South","2",288.64
"maxoilcubeclinic","South","3",313.22
"maxoilcubeclinic","South","4",1024.21
"maxoilcubeclinic","South","5",1028.49
"maxoilcubeclinic","South","6",1031.96
"maxoilcubeclinic","South","7",1035.60
"maxoilcubeclinic","South","8",1039.07
"maxoilcubeclinic","South","9",1040.89
"maxoilcubeclinic","South","10",1041.71
"maxoilcubeclinic","Cities","1",210.90
"maxoilcubeclinic","Cities","2",217.74
"maxoilcubeclinic","Cities","3",243.28
"maxoilcubeclinic","Cities","4",510.62
"maxoilcubeclinic","Cities","5",522.20
"maxoilcubeclinic","Cities","6",534.01
"maxoilcubeclinic","Cities","7",545.25
"maxoilcubeclinic","Cities","8",555.27
"maxoilcubeclinic","Cities","9",565.29
"maxoilcubeclinic","Cities","10",573.53
"cubeflour","North","1",503.07
"cubeflour","North","2",507.40
"cubeflour","North","3",511.73
"cubeflour","North","4",1145.11
"cubeflour","North","5",1162.14
"cubeflour","North","6",1180.23
"cubeflour","North","7",1200.01
"cubeflour","North","8",1222.15
"cubeflour","North","9",1247.35
"cubeflour","North","10",1273.95
"cubeflour","South","1",612.56
"cubeflour","South","2",616.52
"cubeflour","South","3",619.24
"cubeflour","South","4",1088.68
"cubeflour","South","5",1092.81
"cubeflour","South","6",1097.93
"cubeflour","South","7",1102.05
"cubeflour","South","8",1105.18
"cubeflour","South","9",1107.74
"cubeflour","South","10",1108.30
"cubeflour","Cities","1",528.06
"cubeflour","Cities","2",543.51
"cubeflour","Cities","3",557.69
"cubeflour","Cities","4",695.98
"cubeflour","Cities","5",712.84
"cubeflour","Cities","6",729.70
"cubeflour","Cities","7",744.56
"cubeflour","Cities","8",759.01
"cubeflour","Cities","9",773.87
"cubeflour","Cities","10",785.91
"oilvasflour","North","1",1634.30
"oilvasflour","North","2",1646.47
"oilvasflour","North","3",1659.45
"oilvasflour","North","4",1678.71
"oilvasflour","North","5",1703.05
"oilvasflour","North","6",1729.84
"oilvasflour","North","7",1759.27
"oilvasflour","North","8",1790.51
"oilvasflour","North","9",1826.20
"oilvasflour","North","10",1865.16
"oilvasflour","South","1",1053.55
"oilvasflour","South","2",1060.15
"oilvasflour","South","3",1065.75
"oilvasflour","South","4",1071.35
"oilvasflour","South","5",1076.08
"oilvasflour","South","6",1079.82
"oilvasflour","South","7",1084.55
"oilvasflour","South","8",1087.28
"oilvasflour","South","9",1090.15
"oilvasflour","South","10",1092.01
"oilvasflour","Cities","1",736.88
"oilvasflour","Cities","2",758.23
"oilvasflour","Cities","3",778.58
"oilvasflour","Cities","4",798.93
"oilvasflour","Cities","5",818.48
"oilvasflour","Cities","6",837.04
"oilvasflour","Cities","7",854.60
"oilvasflour","Cities","8",871.36
"oilvasflour","Cities","9",888.91
"oilvasflour","Cities","10",901.88
"maxoilflour","North","1",842.94
"maxoilflour","North","2",849.38
"maxoilflour","North","3",950.58
"maxoilflour","North","4",962.25
"maxoilflour","North","5",976.48
"maxoilflour","North","6",991.64
"maxoilflour","North","7",1008.42
"maxoilflour","North","8",1026.52
"maxoilflour","North","9",1047.55
"maxoilflour","North","10",1069.83
"maxoilflour","South","1",785.49
"maxoilflour","South","2",790.49
"maxoilflour","South","3",813.75
"maxoilflour","South","4",817.87
"maxoilflour","South","5",821.62
"maxoilflour","South","6",824.36
"maxoilflour","South","7",828.11
"maxoilflour","South","8",829.86
"maxoilflour","South","9",832.23
"maxoilflour","South","10",833.60
"maxoilflour","Cities","1",663.58
"maxoilflour","Cities","2",682.82
"maxoilflour","Cities","3",718.15
"maxoilflour","Cities","4",736.85
"maxoilflour","Cities","5",754.96
"maxoilflour","Cities","6",772.08
"maxoilflour","Cities","7",788.19
"maxoilflour","Cities","8",803.72
"maxoilflour","Cities","9",819.83
"maxoilflour","Cities","10",831.77
"maxoilcubeflour","North","1",842.94
"maxoilcubeflour","North","2",849.38
"maxoilcubeflour","North","3",950.58
"maxoilcubeflour","North","4",1568.16
"maxoilcubeflour","North","5",1591.17
"maxoilcubeflour","North","6",1616.12
"maxoilcubeflour","North","7",1643.37
"maxoilcubeflour","North","8",1673.27
"maxoilcubeflour","North","9",1707.12
"maxoilcubeflour","North","10",1743.58
"maxoilcubeflour","South","1",785.49
"maxoilcubeflour","South","2",790.49
"maxoilcubeflour","South","3",813.75
"maxoilcubeflour","South","4",1215.42
"maxoilcubeflour","South","5",1220.04
"maxoilcubeflour","South","6",1225.66
"maxoilcubeflour","South","7",1230.27
"maxoilcubeflour","South","8",1233.89
"maxoilcubeflour","South","9",1236.70
"maxoilcubeflour","South","10",1237.51
"maxoilcubeflour","Cities","1",663.58
"maxoilcubeflour","Cities","2",682.82
"maxoilcubeflour","Cities","3",718.15
"maxoilcubeflour","Cities","4",805.48
"maxoilcubeflour","Cities","5",824.89
"maxoilcubeflour","Cities","6",844.30
"maxoilcubeflour","Cities","7",861.70
"maxoilcubeflour","Cities","8",878.34
"maxoilcubeflour","Cities","9",895.75
"maxoilcubeflour","Cities","10",909.61
"oilflour","North","1",842.94
"oilflour","North","2",849.38
"oilflour","North","3",856.06
"oilflour","North","4",866.72
"oilflour","North","5",879.60
"oilflour","North","6",893.21
"oilflour","North","7",908.31
"oilflour","North","8",924.65
"oilflour","North","9",943.73
"oilflour","North","10",963.78
"oilflour","South","1",785.49
"oilflour","South","2",790.49
"oilflour","South","3",794.50
"oilflour","South","4",798.51
"oilflour","South","5",802.18
"oilflour","South","6",804.85
"oilflour","South","7",808.52
"oilflour","South","8",810.19
"oilflour","South","9",812.53
"oilflour","South","10",813.86
"oilflour","Cities","1",663.58
"oilflour","Cities","2",682.82
"oilflour","Cities","3",701.05
"oilflour","Cities","4",719.28
"oilflour","Cities","5",736.99
"oilflour","Cities","6",753.69
"oilflour","Cities","7",769.40
"oilflour","Cities","8",784.57
"oilflour","Cities","9",800.28
"oilflour","Cities","10",811.92
"oilclinicflour","North","1",975.94
"oilclinicflour","North","2",983.34
"oilclinicflour","North","3",991.09
"oilclinicflour","North","4",1003.19
"oilclinicflour","North","5",1018.00
"oilclinicflour","North","6",1033.82
"oilclinicflour","North","7",1051.33
"oilclinicflour","North","8",1070.18
"oilclinicflour","North","9",1092.04
"oilclinicflour","North","10",1115.27
"oilclinicflour","South","1",825.26
"oilclinicflour","South","2",830.51
"oilclinicflour","South","3",834.75
"oilclinicflour","South","4",838.99
"oilclinicflour","South","5",842.82
"oilclinicflour","South","6",845.65
"oilclinicflour","South","7",849.48
"oilclinicflour","South","8",851.31
"oilclinicflour","South","9",853.72
"oilclinicflour","South","10",855.14
"oilclinicflour","Cities","1",673.82
"oilclinicflour","Cities","2",693.35
"oilclinicflour","Cities","3",711.88
"oilclinicflour","Cities","4",730.41
"oilclinicflour","Cities","5",748.37
"oilclinicflour","Cities","6",765.34
"oilclinicflour","Cities","7",781.30
"oilclinicflour","Cities","8",796.70
"oilclinicflour","Cities","9",812.66
"oilclinicflour","Cities","10",824.49
"oilcubeflour","North","1",842.94
"oilcubeflour","North","2",849.38
"oilcubeflour","North","3",856.06
"oilcubeflour","North","4",1509.03
"oilcubeflour","North","5",1531.19
"oilcubeflour","North","6",1555.19
"oilcubeflour","North","7",1581.39
"oilcubeflour","North","8",1610.21
"oilcubeflour","North","9",1642.85
"oilcubeflour","North","10",1677.93
"oilcubeflour","South","1",785.49
"oilcubeflour","South","2",790.49
"oilcubeflour","South","3",794.50
"oilcubeflour","South","4",1210.14
"oilcubeflour","South","5",1214.74
"oilcubeflour","South","6",1220.34
"oilcubeflour","South","7",1224.93
"oilcubeflour","South","8",1228.53
"oilcubeflour","South","9",1231.33
"oilcubeflour","South","10",1232.12
"oilcubeflour","Cities","1",663.58
"oilcubeflour","Cities","2",682.82
"oilcubeflour","Cities","3",701.05
"oilcubeflour","Cities","4",799.04
"oilcubeflour","Cities","5",818.30
"oilcubeflour","Cities","6",837.56
"oilcubeflour","Cities","7",854.81
"oilcubeflour","Cities","8",871.32
"oilcubeflour","Cities","9",888.58
"oilcubeflour","Cities","10",902.33
"oilcubevasflour","North","1",1634.30
"oilcubevasflour","North","2",1646.47
